全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,所在地_全国地方公共団体コード,町字ID,所在地,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,設置位置,電話番号,内線番号,郵便番号,法人番号,団体名,月曜日,火曜日,水曜日,木曜日,金曜日,土曜日,日曜日,祝日,利用可能日時特記事項,小児対応設備の有無,URL
382027,1,愛媛県今治市,清水公民館,シミズコウミンカン,382027,222000,愛媛県今治市四村93-2,愛媛県,今治市,四村,93-2,,34.03364,132.98644,階数,1,1階フロアー,,,7940862,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10356959
382027,2,愛媛県今治市,富田公民館,トミタコウミンカン,382027,408,愛媛県今治市上徳甲393-3,愛媛県,今治市,上徳,甲393-3,,34.03325,133.01218,階数,1,1階事務所受付カウンター横,,,7991511,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10356958
382027,3,愛媛県今治市,桜井公民館,サクライコウミンカン,382027,95003,愛媛県今治市桜井三丁目6-8,愛媛県,今治市,桜井三丁目,6-8,,34.01855,133.03559,,,玄関ホール内(玄関に入って左壁に移設),,,7991522,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10356957
382027,4,愛媛県今治市,波方公民館,ナミカタコウミンカン,382027,154000,愛媛県今治市波方町樋口250,愛媛県,今治市,波方町樋口,250,,34.09783,132.95213,階数,1,1Fロビー(正面自動ドアを入って左側),,,7992102,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10356956
382027,5,愛媛県今治市,常盤公民館,トキワコウミンカン,382027,191002,愛媛県今治市南日吉町二丁目2-9,愛媛県,今治市,南日吉町二丁目,2-9,,34.05734,132.99337,,,事務所前,,,7940056,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10356955
382027,6,愛媛県今治市,中央公民館,チュウオウコウミンカン,382027,192001,愛媛県今治市南宝来町一丁目6-1,愛媛県,今治市,南宝来町一丁目,6-1,,34.06227,132.99779,階数,1,1F事務室受付カウンター右,,,7940043,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10356954
382027,7,愛媛県今治市,大三島少年自然の家,オオミシマショウネンシゼンノイエ,382027,37000,愛媛県今治市大三島町肥海4762-1,愛媛県,今治市,大三島町肥海,4762-1,,34.26849,132.98319,,,事務室前,,,7941301,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10356953
382027,8,愛媛県今治市,朝倉ふれあい交流センター,アサクラフレアイコウリュウセンター,382027,4000,愛媛県今治市朝倉下乙104-2,愛媛県,今治市,朝倉下,乙104-2,,34.00034,133.00625,,,玄関,,,7991603,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10356952
382027,9,愛媛県今治市,上浦開発総合センター,カミウラカイハツソウゴウセンター,382027,46000,愛媛県今治市上浦町井口5931-1,愛媛県,今治市,上浦町井口,5931-1,,34.26334,133.03739,階数,1,1F事務室前ロビー,,,7941402,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10356951
382027,10,愛媛県今治市,サン・アビリティーズ今治,サン・アビリティーズイマバリ,382027,73002,愛媛県今治市喜田村二丁目1-10,愛媛県,今治市,喜田村二丁目,1-10,,34.04845,133.01831,階数,1,1階 体育室入口横,,,7991502,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10356950
