施設名,所在地,電話番号,緯度,経度
今治市立吹揚小学校,今治市黄金町3-3,0898220689,34.062174,133.004632
今治市立別宮小学校,今治市別宮町5-1-7,0898320688,34.071325,132.992401
今治市立常盤小学校,今治市中日吉町2-6-55,0898220477,34.059801,132.989257
今治市立近見小学校,今治市近見町1-5-1,0898220258,34.089579,132.986088
今治市立立花小学校,今治市立花町4-3-45,0898220185,34.047734,133.001053
今治市立鳥生小学校,今治市南高下町3-3-71,0898331221,34.048912,133.013260
今治市立桜井小学校,今治市郷桜井1-8-26,0898480217,34.017379,133.034048
今治市立国分小学校,今治市古国分2-7-1,0898472050,34.032933,133.031261
今治市立富田小学校,今治市上徳甲394-4,0898486169,34.034117,133.013897
今治市立清水小学校,今治市五十嵐甲13-3,0898222556,34.032847,132.984749
今治市立日高小学校,今治市別名446-2,0898222548,34.045906,132.976149
今治市立乃万小学校,今治市延喜甲349,0898322569,34.064473,132.957729
今治市立波止浜小学校,今治市地堀1-3-40,0898419049,34.105954,132.965175
今治市立朝倉小学校,今治市朝倉北甲281,0898562004,33.998541,133.016690
今治市立鴨部小学校,今治市玉川町中村甲574-1,0898552115,34.022004,132.955834
今治市立九和小学校,今治市玉川町摺木甲71-1,0898552117,34.021287,132.939051
今治市立波方小学校,今治市波方町養老甲803-1,0898419122,34.104842,132.945771
今治市立大西小学校,今治市大西町大井浜103,0898532037,34.063777,132.923203
今治市立亀岡小学校,今治市菊間町種52,0898542163,34.054804,132.872854
今治市立菊間小学校,今治市菊間町長坂2000-1,0898542025,34.032773,132.846170
今治市立吉海小学校,今治市吉海町八幡157,0897842609,34.144926,133.041087
今治市立宮窪小学校,今治市宮窪町宮窪4765,0897862117,34.172273,133.072824
今治市立伯方小学校,今治市伯方町木浦甲3599-2,0897720030,34.205097,133.111311
今治市立上浦小学校,今治市上浦町井口4497-1,0897872011,34.262876,133.031784
今治市立大三島小学校,今治市大三島町宮浦5145,0897820027,34.246862,133.000884
今治市立岡村小学校,今治市関前岡村甲415,0897882531,34.188051,132.883441
今治市立日吉中学校,今治市中日吉町1-3-70,0898220731,34.061494,132.992676
今治市立近見中学校,今治市近見町4-2-57,0898221094,34.086386,132.981565
今治市立立花中学校,今治市立花町2-8-7,0898321095,34.050151,132.997592
今治市立桜井中学校,今治市郷桜井1-8-8,0898480150,34.016699,133.033663
今治市立南中学校,今治市松木349-1,0898482546,34.031172,133.000274
今治市立西中学校,今治市山路554-3,0898220411,34.057977,132.976243
今治市立北郷中学校,今治市中堀4-1-1,0898419051,34.101210,132.958380
今治市立朝倉中学校,今治市朝倉北甲273,0898562016,33.998094,133.016927
今治市立玉川中学校,今治市玉川町高野甲21,0898552019,34.018569,132.943306
今治市立大西中学校,今治市大西町九王甲2280-1,0898532038,34.066546,132.926793
今治市立菊間中学校,今治市菊間町浜2628-1,0898542069,34.031874,132.853141
今治市立大島中学校,今治市吉海町幸新田250,0897842706,34.143660,133.040632
今治市立伯方中学校,今治市伯方町木浦甲4134-1,0897721055,34.211653,133.106674
今治市立大三島中学校,今治市上浦町井口5610,0897873400,34.264667,133.037245
今治市立関前中学校,今治市関前岡村甲415,0897882104,34.187799,132.883286
