No,ID,名前,場所,緯度,経度,URL,地区,年度
1,a5K7F000001YlPEUA0,穴田池,今治市高部,34.09227778,132.9760278,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R4_01.pdf?1,今治地区,令和4年度
2,a5K7F000001YlPFUA0,惣浦池,今治市高部,34.09169444,132.9733056,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R4_02.pdf,今治地区,令和4年度
3,a5K7F000001YlPGUA0,砂場大池,今治市砂場町一丁目,34.10536111,132.9773056,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R4_03.pdf,今治地区,令和4年度
4,a5K7F000001YlPHUA0,砂場寺地池,今治市砂場町二丁目,34.10633333,132.9781667,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R4_04.pdf,今治地区,令和4年度
5,a5K7F000001YlPIUA0,大浜中池,今治市大浜町三丁目,34.10033333,132.9808333,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R4_05.pdf,今治地区,令和4年度
6,a5K7F000001YlPJUA0,神宮池(楠神池),今治市大浜町一丁目,34.09672222,132.9825833,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R4_06.pdf,今治地区,令和4年度
7,a5K7F000001YlPKUA0,マコモ池,今治市近見町四丁目,34.08716667,132.9823611,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R4_07.pdf,今治地区,令和4年度
8,a5K7F000001YlPLUA0,カラ池,今治市近見町四丁目,34.08888889,132.9797222,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R4_08.pdf,今治地区,令和4年度
9,a5K7F000001YlPNUA0,本谷池,今治市近見町五丁目,34.08938889,132.9774444,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R4_09.pdf,今治地区,令和4年度
10,a5K7F000001YlPOUA0,一丁地池,今治市近見町一丁目,34.09013889,132.9848333,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R4_10.pdf,今治地区,令和4年度
11,a5K7F000001YlPPUA0,坂本池,今治市近見町三丁目,34.09319444,132.9839722,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R4_11.pdf,今治地区,令和4年度
12,a5K7F000001YlPQUA0,松本池,今治市近見町三丁目,34.09369444,132.9803611,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R4_12.pdf?1,今治地区,令和4年度
13,a5K7F000001YlPRUA0,相ノ谷池,今治市近見町一丁目,34.08808333,132.9882222,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R4_13.pdf,今治地区,令和4年度
14,a5K7F000001YlPSUA0,五丁池,今治市近見町四丁目,34.08638889,132.9830833,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R4_14.pdf?1,今治地区,令和4年度
15,a5K7F000001YlPTUA0,大浜池（神社池）,今治市大浜町三丁目,34.09888889,132.9817222,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R4_15.pdf,今治地区,令和4年度
16,a5K7F000001YlPUUA0,山ノ奥池,今治市近見町五丁目,34.08638889,132.9803333,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R4_16.pdf?1,今治地区,令和4年度
17,a5K7F000001YlPVUA0,坊主谷池,今治市近見町五丁目,34.08705556,132.9791944,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R4_17.pdf?1,今治地区,令和4年度
18,a5K7F000001YlPYUA0,相谷池,今治市石井町五丁目,34.07547222,132.985,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R4_18.pdf?1,今治地区,令和4年度
19,a5K7F000001YlPZUA0,新堂池,今治市石井町五丁目,34.07638889,132.9842778,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R4_19.pdf?1,今治地区,令和4年度
20,a5K7F000001YlPaUAK,蛇ヶ谷池,今治市石井町五丁目,34.07994444,132.9797778,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R4_20.pdf,今治地区,令和4年度
21,a5K7F000001YlPbUAK,小舟池,今治市高地町一丁目,34.06911111,132.9832778,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R4_21.pdf,今治地区,令和4年度
22,a5K7F000001YlPcUAK,大門池,今治市高地町二丁目,34.07716667,132.9764444,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R4_22.pdf,今治地区,令和4年度
23,a5K7F000001YlPeUAK,押谷池,今治市高地町二丁目,34.07677778,132.9808611,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R4_23.pdf,今治地区,令和4年度
24,a5K7F000001YlRtUAK,小坂池,今治市宅間,34.079,132.9344444,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R4_24.pdf,今治地区,令和4年度
28,a5K7F000001YlNPUA0,本谷池,今治市長沢,33.99444444,133.0401111,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R3_01.pdf,今治地区,令和3年度
29,a5K7F000001YlNQUA0,茅ヶ谷池,今治市長沢,34.00497222,133.03425,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R3_02.pdf,今治地区,令和3年度
30,a5K7F000001YlNRUA0,二ノ谷池,今治市長沢,34.00847222,133.0344444,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R3_03.pdf,今治地区,令和3年度
31,a5K7F000001YlNSUA0,菜切谷池,今治市長沢,34.00513889,133.0397778,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R3_04.pdf,今治地区,令和3年度
32,a5K7F000001YlNTUA0,冷尻池,今治市長沢,33.99830556,133.0370556,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R3_05.pdf,今治地区,令和3年度
33,a5K7F000001YlNUUA0,要ヶ谷下池,今治市長沢,33.99963889,133.0351667,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R3_06.pdf,今治地区,令和3年度
34,a5K7F000001YlNVUA0,要ヶ谷上池,今治市長沢,33.99930556,133.0345833,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R3_07.pdf,今治地区,令和3年度
35,a5K7F000001YlNWUA0,地蔵寺池,今治市長沢,34.00316667,133.0339444,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R3_08.pdf,今治地区,令和3年度
36,a5K7F000001YlNXUA0,三の谷池,今治市長沢,34.00719444,133.0345556,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R3_09.pdf,今治地区,令和3年度
37,a5K7F000001YlNYUA0,沖浦池,今治市孫兵衛作,33.99375,133.0566389,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R3_10.pdf,今治地区,令和3年度
38,a5K7F000001YlNZUA0,小宮池,今治市登畑,34.01444444,133.0170556,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R3_11.pdf,今治地区,令和3年度
39,a5K7F000001YlNbUAK,長谷池,今治市旦,34.01469444,133.0258889,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R3_12.pdf,今治地区,令和3年度
40,a5K7F000001YlNcUAK,旦蓮池,今治市旦,34.01516667,133.0298889,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R3_13.pdf,今治地区,令和3年度
41,a5K7F000001YlNdUAK,上小谷池,今治市旦,34.01397222,133.0243333,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R3_14.pdf,今治地区,令和3年度
42,a5K7F000001YlNeUAK,下大谷池,今治市旦,34.0135,133.0239722,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R3_15.pdf,今治地区,令和3年度
43,a5K7F000001YlNfUAK,上大谷池,今治市旦,34.01272222,133.0238056,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R3_16.pdf,今治地区,令和3年度
44,a5K7F000001YlNgUAK,下段原池,今治市旦,34.01566667,133.0215,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R3_17.pdf,今治地区,令和3年度
45,a5K7F000001YlNhUAK,上段原池,今治市旦,34.01433333,133.0216667,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R3_18.pdf,今治地区,令和3年度
46,a5K7F000001YlNiUAK,段原池,今治市旦,34.01508333,133.0215278,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R3_19.pdf,今治地区,令和3年度
47,a5K7F000001YlNmUAK,又右衛門谷池,今治市古国分二丁目,34.03383333,133.03325,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R3_20.pdf,今治地区,令和3年度
48,a5K7F000001YlNnUAK,カラキ谷池,今治市国分四丁目,34.02838889,133.0279722,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R3_21.pdf,今治地区,令和3年度
49,a5K7F000001YlNoUAK,雲久池,今治市国分五丁目,34.02338889,133.0306667,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R3_22.pdf,今治地区,令和3年度
50,a5K7F000001YlNpUAK,開地池,今治市古国分三丁目,34.025,133.0356944,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R3_23.pdf,今治地区,令和3年度
51,a5K7F000001YlNrUAK,小谷下池,今治市古国分二丁目,34.03166667,133.0349444,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R3_24.pdf,今治地区,令和3年度
52,a5K7F000001YlNsUAK,小谷上池,今治市古国分二丁目,34.03158333,133.0342222,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R3_25.pdf,今治地区,令和3年度
53,a5K7F000001YlNtUAK,土居下池,今治市新谷,34.01733333,132.9886667,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R3_26.pdf,今治地区,令和3年度
54,a5K7F000001YlNuUAK,宮下池,今治市新谷,34.01475,132.9895556,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R3_27.pdf,今治地区,令和3年度
55,a5K7F000001YlNvUAK,新谷中池,今治市新谷,34.01947222,132.9846389,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R3_28.pdf,今治地区,令和3年度
56,a5K7F000001YlNwUAK,寺前池,今治市新谷,34.01980556,132.9878056,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R3_29.pdf,今治地区,令和3年度
57,a5K7F000001YlNxUAK,脇池,今治市新谷,34.02130556,132.9836389,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R3_30.pdf,今治地区,令和3年度
58,a5K7F000001YlNyUAK,古新谷池,今治市新谷,34.02047222,132.9855556,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R3_31.pdf,今治地区,令和3年度
59,a5K7F000001YlNzUAK,弓田池,今治市新谷,34.02216667,132.9923611,https://www.city.imabari.ehime.jp/noudo/hazardmap/imabari/imabari_R3_32.pdf,今治地区,令和3年度
