名称,テーマ,分類,所在地,リンク,緯度,経度
七五三ケ浦海岸,キャンプ場,観光情報 / スポーツ・レクリエーション,今治市波方町宮崎甲736番地,https://www.city.imabari.ehime.jp/kanko/spot/?a=161,34.11415213,132.8975552
上浦多々羅キャンプ場,キャンプ場,観光情報 / スポーツ・レクリエーション,今治市上浦町井口7523番地,https://imabari-shimanami.jp/tatara-camp/,34.25800004,133.0528632
今治市宮窪カレイ山展望公園,キャンプ場,観光情報 / スポーツ・レクリエーション,今治市宮窪町宮窪6355番地2,https://www.city.imabari.ehime.jp/kanko/spot/?a=186,34.18400002,133.0690233
今治市玉川ふれあいの森　キャンプ場,キャンプ場,観光情報 / スポーツ・レクリエーション,今治市玉川町鈍川庚730番地1,https://www.city.imabari.ehime.jp/kanko/spot/?a=148,33.975,132.9400386
今治市鴨池海岸公園,キャンプ場,観光情報 / スポーツ・レクリエーション,今治市大西町九王甲1168番地,https://www.city.imabari.ehime.jp/kanko/spot/?a=169,34.08257839,132.9233704
大三島台キャンプ場,キャンプ場,観光情報 / スポーツ・レクリエーション,今治市大三島町台5089番地,https://www.city.imabari.ehime.jp/kanko/spot/?a=235,34.23799998,132.992187
大角海浜公園,キャンプ場,観光情報 / スポーツ・レクリエーション,今治市波方町波方乙893番地1,https://www.city.imabari.ehime.jp/kanko/spot/?a=160,34.14075948,132.9415856
朝倉ダム湖畔・緑水公園,キャンプ場,観光情報 / スポーツ・レクリエーション,今治市朝倉上乙762番地2,https://www.city.imabari.ehime.jp/kanko/spot/?a=144,33.9565541,133.0073836
桜井海浜ふれあい広場,キャンプ場,観光情報 / スポーツ・レクリエーション,今治市桜井甲1130番地2,https://www.city.imabari.ehime.jp/kanko/spot/?a=136,34.00605488,133.0521865
見近島自然公園,キャンプ場,観光情報 / スポーツ・レクリエーション,今治市宮窪町大字宮窪7688番地2,https://www.city.imabari.ehime.jp/kanko/spot/?a=187,34.19560566,133.0746304
龍岡キャンプ場,キャンプ場,観光情報 / スポーツ・レクリエーション,今治市玉川町龍岡下,https://www.city.imabari.ehime.jp/kanko/spot/?a=155,33.99200002,132.9147838
今治市クリーンセンター,クリーンセンター,公共施設,今治市町谷甲394番地,http://bariclean.jp/,34.02199996,132.9989114
伯方中継センター,クリーンセンター,公共施設,今治市伯方町木浦甲2291番地,https://www.city.imabari.ehime.jp/kankyous/hakata.html,34.19500004,133.115428
大三島中継センター,クリーンセンター,公共施設,今治市大三島町宮浦1805,https://www.city.imabari.ehime.jp/kankyous/omishima.html,34.2570508,133.0194193
大島中継センター,クリーンセンター,公共施設,今治市宮窪町宮窪6533番地,https://www.city.imabari.ehime.jp/kankyous/oshima.html,34.19000004,133.0693763
今治市上浦レンタサイクルターミナル,サイクリング,観光情報,今治市上浦町井口9180番地2,https://www.city.imabari.ehime.jp/kanko/cycling/,34.25418121,133.0540183
今治市中央レンタサイクルターミナル,サイクリング,観光情報,今治市砂場町2丁目8番1号,https://www.city.imabari.ehime.jp/kanko/cycling/,34.11022514,132.9775218
今治市今治駅前レンタサイクルターミナル,サイクリング,観光情報,今治市北宝来町2丁目,https://www.city.imabari.ehime.jp/kanko/cycling/#terminal,34.06480052,132.9936694
今治市伯方レンタサイクルターミナル,サイクリング,観光情報,今治市伯方町叶浦甲1668番地1,https://www.city.imabari.ehime.jp/kanko/cycling/,34.20299472,133.0757113
今治市吉海レンタサイクルターミナル,サイクリング,観光情報,今治市吉海町名4520番地2,https://www.city.imabari.ehime.jp/kanko/cycling/,34.12777276,133.0218154
今治駅前サイクリングターミナル（i.i.imabari! Cycle Station）,サイクリング,観光情報,今治市北宝来町2丁目,https://www.city.imabari.ehime.jp/kanko/spot/?a=22,34.06499997,132.9936089
糸山サイクリングターミナル　(サンライズ糸山),サイクリング,観光情報,今治市砂場町2丁目8番1号,https://www.sunrise-itoyama.jp/,34.11022514,132.9775218
今治市営スポーツパーク,スポーツ施設,スポーツ・レクリエーション,今治市高橋ふれあいの丘1番地2,https://www.city.imabari.ehime.jp/sports/shisetsu/sportspark/,34.04248004,132.9584006
今治市営上浦多々羅スポーツ公園運動場,スポーツ施設,スポーツ・レクリエーション,今治市上浦町井口7074番地の20,https://www.city.imabari.ehime.jp/sports/shisetsu/tatara/,34.26075241,133.0476413
今治市営中央体育館,スポーツ施設,スポーツ・レクリエーション,今治市別宮町6丁目2番2号,https://www.city.imabari.ehime.jp/sports/shisetsu/taiikukan/,34.07215656,132.992924
今治市営伯方体育センター,スポーツ施設,スポーツ・レクリエーション,今治市伯方町叶浦甲1668番地の29,https://www.city.imabari.ehime.jp/sports/shisetsu/hakata_center/,34.20322719,133.074526
今治市営大三島緑の村運動広場,スポーツ施設,スポーツ・レクリエーション,今治市大三島町口総1269番地,https://www.city.imabari.ehime.jp/sports/shisetsu/omishima_midori/,34.22143394,132.9658164
今治市営大西体育館,スポーツ施設,スポーツ・レクリエーション,今治市大西町新町甲797番地,https://www.city.imabari.ehime.jp/sports/shisetsu/onishi_taiikukan/,34.0643371,132.9251643
今治市営大西別府運動場,スポーツ施設,スポーツ・レクリエーション,今治市大西町別府2140番地4,https://www.city.imabari.ehime.jp/sports/shisetsu/onishi/befu.html,34.0672276,132.8999979
今治市営大西衣黒運動場,スポーツ施設,スポーツ・レクリエーション,今治市大西町大井浜199番地,https://www.city.imabari.ehime.jp/sports/shisetsu/onishi/iguro.html,34.05812008,132.9232042
今治市営朝倉緑のふるさと公園運動場,スポーツ施設,スポーツ・レクリエーション,今治市朝倉下乙258番地1,https://www.city.imabari.ehime.jp/sports/shisetsu/asakura/,33.99922943,133.0067436
今治市営桜井スポーツランド,スポーツ施設,スポーツ・レクリエーション,今治市桜井甲1054番地3,https://www.city.imabari.ehime.jp/sports/shisetsu/sakurai/,34.00977486,133.0486189
今治市営桜井海浜ふれあい広場サッカー場,スポーツ施設,スポーツ・レクリエーション,今治市桜井甲1130番地2,https://www.city.imabari.ehime.jp/sports/shisetsu/sakurai_soccer/,34.00535618,133.0513577
今治市営波方公園運動場,スポーツ施設,スポーツ・レクリエーション,今治市波方町樋口乙730番地,https://www.city.imabari.ehime.jp/sports/shisetsu/tamagawa_sogo/,34.1037529,132.9491301
今治市営玉川総合公園運動場,スポーツ施設,スポーツ・レクリエーション,今治市玉川町摺木甲108番地,https://www.city.imabari.ehime.jp/sports/shisetsu/tamagawa_sogo/,34.0223742,132.9350456
今治市営玉川艇庫,スポーツ施設,スポーツ・レクリエーション,今治市玉川町龍岡下乙17番地1,https://www.city.imabari.ehime.jp/sports/shisetsu/tamagawa_teiko/,33.99243027,132.9148792
今治市営球場,スポーツ施設,スポーツ・レクリエーション,今治市大新田町5丁目111番地7,https://www.city.imabari.ehime.jp/sports/shisetsu/oshinden/,34.07914457,132.9911794
今治市営菊間コミュニティホール,スポーツ施設,スポーツ・レクリエーション,今治市菊間町浜812番地,https://www.city.imabari.ehime.jp/sports/shisetsu/kikuma_commu/,34.03389843,132.8411908
今治市営菊間緑の広場公園運動場,スポーツ施設,スポーツ・レクリエーション,今治市菊間町池原1463番地2,https://www.city.imabari.ehime.jp/sports/shisetsu/kikuma_midori/,34.03109925,132.8620685
今治市宮窪石文化運動公園,スポーツ施設,スポーツ・レクリエーション,今治市宮窪町宮窪3546番地,https://www.city.imabari.ehime.jp/sports/shisetsu/ishibunka/,34.15934378,133.0705141
上浦多々羅しまなみドーム,プール,スポーツ・レクリエーション,今治市上浦町井口7074番地の20,https://www.city.imabari.ehime.jp/sports/shisetsu/yoshiumi_bg/,34.26158773,133.0469374
今治市吉海Ｂ＆Ｇ海洋センター,プール,スポーツ・レクリエーション,今治市吉海町福田1290番地,https://www.city.imabari.ehime.jp/sports/shisetsu/yoshiumi_bg/,34.1550478,133.0416199
今治市営富田海浜プール,プール,スポーツ・レクリエーション,今治市喜田村五丁目1073番地4地先,https://www.city.imabari.ehime.jp/sports/shisetsu/pool/,34.04673878,133.0282615
今治市営御厩プール,プール,スポーツ・レクリエーション,今治市東門町3丁目2番地2,https://www.city.imabari.ehime.jp/sports/shisetsu/pool/,34.0613083,133.0125695
今治市営波方公園運動場プール,プール,スポーツ・レクリエーション,今治市波方町樋口乙730番地,https://www.city.imabari.ehime.jp/sports/shisetsu/pool/,34.10460435,132.9496701
今治市営鹿ノ子プール,プール,スポーツ・レクリエーション,今治市町谷甲443番地1,https://www.city.imabari.ehime.jp/sports/shisetsu/pool/,34.02104279,132.9996142
今治市多目的温泉保養館(クアハウス今治),プール,スポーツ・レクリエーション,今治市湯ノ浦36番地,http://www.k-ispa.server-shared.com/,33.99413116,133.053402
今治市朝倉Ｂ＆Ｇ海洋センター,プール,スポーツ・レクリエーション,今治市朝倉下乙104番地の2,https://www.city.imabari.ehime.jp/sports/shisetsu/asakura_bg/,34.00081185,133.0070135
今治市民活動センター(今治市ボランティアサロン),ボランティアサロン,公共施設,今治市別宮町8丁目1番55号,https://imanpo.org/center/,34.07324311,132.9906661
今治市下水浄化センター,下水道処理施設,公共施設,今治市天保山町４丁目6番地2,https://www.city.imabari.ehime.jp/gesuik/,34.06342253,133.0174525
北部浄化センター,下水道処理施設,公共施設,今治市内堀１丁目185番地15,https://www.city.imabari.ehime.jp/gesuik/,34.10366387,132.9687294
大西水処理センター,下水道処理施設,公共施設,今治市大西町大井浜202番地1,https://www.city.imabari.ehime.jp/gesuik/,34.0659012,132.9188782
今治市立伯方中学校,中学校,公共施設,今治市伯方町木浦甲4134番地1,https://www.city.imabari.ehime.jp/gakukyou/s-ichiran.html#01,34.21242557,133.1067235
今治市立北郷中学校,中学校,公共施設,今治市中堀4丁目1番1号,https://www.city.imabari.ehime.jp/gakukyou/s-ichiran.html#01,34.10101958,132.9583414
今治市立南中学校,中学校,公共施設,今治市松木349番地1,https://www.city.imabari.ehime.jp/gakukyou/s-ichiran.html#01,34.03146363,133.0007905
今治市立大三島中学校,中学校,公共施設,今治市上浦町井口5610番地,https://www.city.imabari.ehime.jp/gakukyou/s-ichiran.html#01,34.26480177,133.0365749
今治市立大島中学校,中学校,公共施設,今治市吉海町幸新田250番地,https://www.city.imabari.ehime.jp/gakukyou/s-ichiran.html#01,34.14336175,133.0403378
今治市立大西中学校,中学校,公共施設,今治市大西町九王甲2280番地の1,https://www.city.imabari.ehime.jp/gakukyou/s-ichiran.html#01,34.06597432,132.9265765
