投票区,投票所施設,所在地,URL,緯度,経度,区域
1,今治市民会館,今治市別宮町1丁目4番地1,https://www.city.imabari.ehime.jp/map/map/17-dai1touhyouku.html,34.06618367,132.9983271,片原町4丁目、中浜町4丁目114番地～125番地、風早町4丁目89番地～104番地、本町1丁目～本町4丁目、米屋町、室屋町1丁目～室屋町4丁目、栄町、共栄町1丁目～共栄町4丁目、常盤町4丁目2番地～4番地、大正町1丁目～大正町3丁目、別宮町1丁目～別宮町3丁目、南大門町1丁目～南大門町3丁目、北宝来町1丁目2番地～5番地、北宝来町2丁目、北宝来町3丁目、美保町1丁目
2,別宮小学校屋内運動場,今治市別宮町5丁目1番地7,https://www.city.imabari.ehime.jp/map/map/18-dai2touhyouku.html,34.07172515,132.9923115,別宮町4丁目～別宮町9丁目、南大門町4丁目、北宝来町4丁目、高地町、宮下町1丁目、宮下町2丁目2番・3番1号～20号・23号～41号・4番、宮下町3丁目甲1520番地～甲1582番地・甲1663番地～甲1692番地・甲1698番地～甲1708番地・甲1710番地～甲1713番地・甲1725番地2・甲1725番地3・乙225番地～乙266番地・乙637番地・乙641番地・乙642番地、いこいの丘
3,旧別宮保育所,今治市大正町4丁目2番地10,https://www.city.imabari.ehime.jp/map/map/19-dai3touhyouku.html,34.07147513,132.9964842,本町5丁目～本町7丁目、室屋町5丁目～室屋町7丁目、共栄町5丁目、大正町4丁目～大正町7丁目、美保町2丁目～美保町3丁目、北浜町
4,旧美須賀小学校屋内運動場,今治市黄金町1丁目9番地,https://www.city.imabari.ehime.jp/map/map/20-dai4touhyouku.html,34.06562863,133.003536,片原町1丁目～片原町3丁目、中浜町1丁目～中浜町3丁目、中浜町4丁目76番地～113番地・126番地～156番地、風早町1丁目～風早町3丁目、風早町4丁目1番地～88番地、常盤町1丁目～常盤町3丁目、恵美須町1丁目、恵美須町２丁目、通町、黄金町1丁目～黄金町4丁目、末広町、松本町1丁目～松本町3丁目、今治村
5,旧日吉小学校屋内運動場,今治市南宝来町1丁目6番地1,https://www.city.imabari.ehime.jp/map/map/21-dai5touhyouku.html,34.06168792,132.9985624,常盤町4丁目1番地・5番地～10番地、北宝来町1丁目1番地、松本町4丁目、南宝来町、蔵敷町、泉川町1丁目1番・2番3号～27号、蒼社町1丁目1番～3番・4番1号～10号・4番43号・5番1号～9号・5番57号・5番58号・6番1号～9号・6番57号～62号、旭町1丁目～旭町4丁目、旭町5丁目1番地～3番地
6,日吉中学校屋内運動場,今治市中日吉町1丁目3番70号,https://www.city.imabari.ehime.jp/map/map/22-dai6touhyouku.html,34.06184285,132.9924229,常盤町5丁目、常盤町6丁目1番・2番・8番、宮下町2丁目1番・3番21号・3番22号、宮下町3丁目甲1469番地～1475番地・甲1504番地～甲1513番地・乙209番地～乙224番地・乙626番地・乙640番地、山方町、中日吉町1丁目、中日吉町2丁目1番・2番・3番1号～3号・3番47号～52号・5番1号～4号・5番19号～33号・6番～8番、北日吉町1丁目、北日吉町2丁目1番・2番・3番1号～5号・3番28号～42号・4番1号～7号・4番27号～41号・5番1号～8号・5番20号～55号・6番～9番、南日吉町1丁目、南日吉町2丁目1番1号～32号・1番43号～59号、泉川町1丁目2番1号・2番2号・2番28号～83号・3番1号～9号・3番48号～61号・3番63号～75号
7,鯉池集会所,今治市鯉池町2丁目1番36号,https://www.city.imabari.ehime.jp/map/map/23-dai7touhyouku.html,34.05260951,132.9885714,常盤町6丁目3番～7番、常盤町7丁目、常盤町8丁目、中日吉町2丁目3番4号～46号・4番・5番5号～18号、中日吉町3丁目、北日吉町2丁目3番6号～27号・4番8号～26号・5番9号～19号、北日吉町3丁目、鯉池町、南日吉町2丁目1番33号～42号・2番・3番、南日吉町3丁目、泉川町1丁目3番10号～47号・3番62号、泉川町2丁目、蒼社町1丁目4番11号～42号・5番10号～56号・6番10号～56号、蒼社町2丁目、馬越町4丁目1番・2番
8,城東公民館,今治市東門町4丁目1番6号,https://www.city.imabari.ehime.jp/map/map/24-dai8touhyouku.html,34.06049001,133.0127644,恵美須町3丁目、天保山町、東門町、美須賀町、枝堀町、黄金町5丁目、黄金町6丁目、松本町5丁目、東鳥生町
9,立花中学校屋内運動場,今治市立花町2丁目8番7号,https://www.city.imabari.ehime.jp/map/map/25-dai9touhyouku.html,34.05058178,132.997774,立花町1丁目～立花町3丁目、河南町、郷本町、八町西1丁目～八町西3丁目、八町西4丁目1番・2番、八町西5丁目1番・4番
10,立花カルチャーセンター,今治市郷六ヶ内町2丁目2番7号,https://www.city.imabari.ehime.jp/map/map/26-dai10touhyouku.html,34.04579024,132.9979794,立花町4丁目、石橋町、郷六ケ内町、郷新屋敷町、八町西4丁目3番・4番、八町西5丁目2番・3番、八町東、辻堂2丁目～辻堂4丁目
