校区,施設名称,所在地,lat,lon,電話番号,収容人数,新旧耐震別,土砂,洪水計画,洪水最大,高潮,内水既往,内水最大,津波
吹揚,今治公民館,今治市北宝来町3丁目2-9,34.0668667,132.9933444,0898-24-2576,72,新耐震,○,○,2階以上可,2階以上可,○,○,○
吹揚,旧今治小学校体育館,今治市南大門町2丁目5,34.066418,132.995439,0898-36-1611,310,新耐震,○,○,×,×,○,○,○
吹揚,美須賀コミュニティプラザ,今治市室屋町1丁目2-5,34.068007,133.001876,0898-32-3123,164,新耐震,○,○,2階以上可,2階以上可,○,○,2階以上可
吹揚,吹揚小学校,今治市黄金町3丁目3,34.0618954,133.0046318,0898-22-0689,1277,新耐震,○,2階以上可,2階以上可,2階以上可,○,○,2階以上可
吹揚,日吉公民館,今治市末広町4丁目6-2,34.059327,133.005942,0898-33-0534,58,新耐震,○,2階以上可,2階以上可,2階以上可,○,○,2階以上可
吹揚,旧日吉小学校体育館,今治市南宝来町1丁目6-1,34.0616997,132.9985926,0898-36-1611,300,新耐震,○,○,×,×,○,○,○
吹揚,中央公民館,今治市南宝来町1丁目6-1,34.0623,132.99789,0898-32-2892,416,旧耐震,○,○,2階以上可,2階以上可,○,○,○
吹揚,今治地域地場産業振興センター,今治市旭町2丁目3-5,34.0613956,132.9998251,0898-32-3337,422,新耐震,○,○,2階以上可,2階以上可,2階以上可,2階以上可,○
吹揚,旧城東小学校,今治市東門町4丁目3-16,34.060172,133.013197,0898-36-1611,532,新耐震,○,2階以上可,2階以上可,2階以上可,○,2階以上可,2階以上可
吹揚,城東保育所,今治市美須賀町4丁目1-48,34.0593895,133.0116261,0898-22-3451,278,新耐震,○,2階以上可,2階以上可,2階以上可,2階以上可,2階以上可,2階以上可
吹揚,旧今治コンピュータ・カレッジ,今治市東門町5丁目840-4,34.0615324,133.0171711,0898-22-8000,158,新耐震,○,2階以上可,2階以上可,2階以上可,○,○,2階以上可
別宮,別宮公民館,今治市大正町4丁目2-7,34.0711992,132.9962743,0898-23-6762,113,新耐震,○,○,2階以上可,2階以上可,○,○,2階以上可
別宮,別宮小学校,今治市別宮町5丁目1-７,34.071059,132.992587,0898-32-0688,867,新耐震,○,○,2階以上可,2階以上可,○,○,2階以上可
別宮,本町児童館,今治市本町5丁目2-24,34.073868,132.997731,0898-32-3952,67,旧耐震,○,○,2階以上可,2階以上可,○,○,2階以上可
別宮,岡山理科大学今治キャンパス体育館,今治市いこいの丘1-3,34.0694747,132.9814615,0898-52-9000,683,新耐震,○,○,○,○,○,○,○
別宮,中央体育館,今治市別宮町6丁目2-2,34.072315,132.992895,0898-24-2351,1180,新耐震,○,○,2階以上可,2階以上可,○,○,2階以上可
常盤,常盤公民館,今治市南日吉町2丁目2-9,34.0573296,132.9933707,0898-31-8943,83,旧耐震,○,○,2階以上可,○,○,○,○
常盤,常盤小学校,今治市中日吉町2丁目6-55,34.0596031,132.9894852,0898-22-0477,1150,新耐震,○,○,2階以上可,○,○,○,○
常盤,日吉中学校,今治市中日吉町1丁目3-70,34.061347,132.992442,0898-22-0731,1119,新耐震,○,○,2階以上可,○,○,○,○
常盤,常盤保育所,今治市南日吉町2丁目2-8,34.057403,132.993136,0898-31-5058,266,旧耐震,○,○,2階以上可,○,○,○,○
常盤,今治北高等学校,今治市宮下町2丁目2-14,34.0653998,132.9884726,0898-32-2200,1907,新耐震,○,○,○,2階以上可,2階以上可,2階以上可,○
常盤,今治西高等学校,今治市中日吉町3丁目5-47,34.0572738,132.9859486,0898-32-5030,2193,新耐震,○,○,2階以上可,○,○,○,○
常盤,今治精華高等学校,今治市中日吉町2丁目1-34,34.059653,132.991581,0898-32-7100,879,旧耐震,○,○,2階以上可,○,○,○,○
常盤,FC今治高等学校明徳校,今治市北日吉町1丁目4-47,34.0630261,132.9909576,0898-22-6767,575,新耐震,○,○,2階以上可,○,○,○,○
常盤,今治南高等学校,今治市常盤町7丁目2-17,34.0557201,132.9893746,0898-22-0017,1632,新耐震,○,○,2階以上可,○,○,○,○
近見,近見公民館,今治市湊町1丁目1-39,34.0860564,132.989557,0898-32-3258,149,旧耐震,○,○,○,2階以上可,2階以上可,2階以上可,○
近見,近見小学校,今治市近見町1丁目5-1,34.089401,132.985746,0898-22-0258,914,新耐震,○,○,○,○,○,○,○
近見,近見中学校,今治市近見町4丁目2-57,34.086179,132.98158,0898-22-1094,1057,新耐震,○,○,○,○,○,○,○
立花,立花カルチャーセンター,今治市郷六ヶ内町2丁目2-7,34.0457805,132.997934,0898-22-8041,131,新耐震,○,○,2階以上可,○,○,○,○
立花,立花小学校,今治市立花町4丁目3-45,34.0477008,133.0010799,0898-22-0185,1188,新耐震,○,○,2階以上可,○,○,○,○
立花,立花中学校,今治市立花町2丁目8-7,34.0496938,132.9970972,0898-32-1095,1296,新耐震,○,○,2階以上可,○,○,○,○
立花,今治工業高等学校,今治市河南町1丁目1-36,34.0511425,132.9947422,0898-22-0342,1533,新耐震,○,○,○,○,○,○,○
鳥生,鳥生公民館,今治市土橋町1丁目8-42,34.0491032,133.0038801,0898-32-3256,124,旧耐震,○,○,2階以上可,○,○,○,○
鳥生,鳥生小学校,今治市南高下町3丁目3-71,34.0487393,133.0130743,0898-33-1221,898,新耐震,○,2階以上可,2階以上可,2階以上可,○,○,2階以上可
鳥生,鳥生保育所,今治市北鳥生町3丁目1-15,34.0543463,133.0072316,0898-22-3749,192,旧耐震,○,○,2階以上可,2階以上可,○,○,○
鳥生,今治立花農業協同組合本所,今治市北鳥生町3丁目3-14,34.0536596,133.0083226,0898-23-0246,121,新耐震,○,○,2階以上可,2階以上可,○,○,○
桜井,桜井公民館,今治市桜井3丁目6-8,34.0185644,133.0356102,0898-48-0001,99,旧耐震,○,○,○,2階以上可,2階以上可,2階以上可,○
桜井,桜井小学校,今治市郷桜井1丁目8-26,34.0172393,133.0336938,0898-48-0217,1102,新耐震,○,○,○,2階以上可,○,○,○
桜井,桜井中学校,今治市郷桜井1丁目8-8,34.0163022,133.0336432,0898-48-0150,1162,新耐震,○,○,○,2階以上可,○,○,○
桜井,桜井保育所,今治市登畑甲40,34.0222587,133.0219393,0898-48-0555,186,旧耐震,○,○,○,○,－,－,○
桜井,愛媛中央産業技術専門校,今治市桜井団地4丁目1-1,34.0245566,133.0146982,0898-48-0525,72,旧耐震,○,○,○,○,－,－,○
桜井,今治東中等教育学校,今治市桜井2丁目9-1,34.0241643,133.0347863,0898-47-3630,1540,新耐震,○,○,○,○,○,○,○
国分,国分公民館,今治市唐子台東3丁目23-6,34.0285098,133.0304149,0898-47-3663,75,新耐震,○,○,○,○,○,○,○
国分,国分小学校,今治市古国分2丁目7-1,34.0328564,133.0312148,0898-47-2050,744,新耐震,○,○,○,○,○,○,○
富田,富田公民館,今治市上徳甲393-3,34.0331389,133.0123111,0898-48-5175,168,新耐震,○,○,○,○,○,○,○
富田,富田小学校,今治市上徳甲394-4,34.034075,133.013882,0898-48-6169,1202,新耐震,○,○,○,○,○,○,○
富田,南中学校,今治市松木349-1,34.0309727,133.0004627,0898-48-2546,1252,新耐震,○,2階以上可,2階以上可,○,2階以上可,2階以上可,○
富田,富田保育所,今治市上徳乙287-7,34.0328295,133.0127336,0898-48-2323,304,新耐震,○,○,○,○,○,○,○
富田,サン・アビリティーズ今治,今治市喜田村2丁目1-10,34.048565,133.018593,0898-48-3477,605,新耐震,○,×,×,×,○,○,○
富田,バリクリーン（今治市クリーンセンター）,今治市町谷甲394番地,34.0214,132.9989221,0898-48-3601,320,新耐震,○,○,○,○,○,○,○
清水,清水公民館,今治市四村93-2,34.033682,132.986391,0898-32-0073,113,旧耐震,○,2階以上可,2階以上可,○,○,○,○
清水,清水小学校,今治市五十嵐甲13-3,34.032912,132.9847147,0898-22-2556,833,新耐震,○,○,2階以上可,○,○,○,○
