場所,住所,緯度,経度
伯方水防倉庫,今治市伯方町木浦甲1212,34.204944,133.113629
上浦水防倉庫,今治市上浦町井口6601-1,34.263011,133.040094
大三島防災倉庫,今治市大三島町宮浦4976,34.243994,132.999893
関前方面隊岡村消防詰所,今治市関前岡村甲738-8,34.183774,132.883045
別名水防・防災倉庫,今治市別名2-3,34.042505,132.980345
桜井防災倉庫,今治市桜井6丁目甲1220地先,34.016758,133.043865
波止浜水防倉庫,今治市内堀1丁目185-27,34.104187,132.967889
朝倉水防倉庫,今治市朝倉北甲387-1,33.995541,133.021742
玉川水防倉庫,今治市玉川町三反地甲18-1,34.019443,132.940857
波方水防倉庫,今治市波方町樋口甲250,34.097555,132.950862
大西水防倉庫,今治市大西町宮脇甲506-1,34.059993,132.925102
菊間水防倉庫,今治市菊間町浜1111,34.037987,132.843171
吉海水防倉庫,今治市吉海町八幡137,34.145366,133.043012
宮窪方面隊第2分団消防詰所,今治市宮窪町宮窪2668,34.172613,133.075692
